TaxaDeChegadaMedia,TempoDeServicoMedio,NumServidores,RequisicoesSubmetidas,RequisicoesConcluidas,TempoMedioDeResposta,TamanhoMedioDaFila
9.500000,0.840000,15,293,293,0.930294,0.040541
9.500000,0.840000,14,292,292,0.907734,0.285235
9.500000,0.840000,13,278,278,0.836464,0.021127
9.500000,0.840000,12,268,268,0.810603,0.066914
9.500000,0.840000,11,296,296,0.854085,1.305369
9.500000,0.840000,10,271,259,0.929505,1.718147
9.500000,0.840000,9,295,295,0.885550,4.405316
9.500000,0.840000,8,281,262,2.008401,15.259542
9.500000,0.840000,7,262,237,2.019573,14.320675
9.500000,0.840000,6,287,203,5.946356,53.290640
9.500000,0.840000,5,274,192,4.796154,40.437500
9.500000,0.840000,4,255,144,6.709115,56.187500
9.500000,0.840000,3,290,112,9.636643,91.410714
9.500000,0.840000,2,285,59,12.061272,112.983051
9.500000,0.840000,1,291,35,12.171839,119.400000
